이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
가울테리아,Gaultheria procumbens,"Checkerberry, Eastern Teaberry, (Spreading) Wintergreen",파스향나무 (추천 유통명: 가울테리아),진달래과,"아시아, 아메리카,캐나다","식용, 지피, 약용, 향기,관엽, 관화, 관실","잎&꽃보기식물, 열매보기식물",관목형,,,"하층목,지피식물",일반형,"화려함, 잎의 질감-중간, 잎의 광택-있음, 상록",기타 (무늬없음 등),"녹색, 연두색",여름,"분홍색,흰색",,빨강색,중간,"파종,삽목,분주",파종-9~11월/분주-3~5월,경험자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,"토양 : 중성,산성 / 배수 잘 됨 (Loam,Sand)",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
개운죽,Dracaena sanderiana 'Virens',Sander's dracaena,개운죽,백합과,서부 아프리카,대나무를 닮아서 이름까지 얻게 되었지만 사실은 대나무가 아닌 드라세나속의 관엽,잎보기식물,직립형,,,"중층목,하층목","일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 거의 요구하지않음,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
골드크레스트 '윌마',Cupressus macrocarpa 'Wilma',Monterey cypress,"율마, 골드크리스터 (추천 유통명: 윌마)",측백나무과,북부 아메리카,부드러운 연두빛의 침엽수를 연상하게 하는 실내식물로 허브 향을 지님,잎보기식물,직립형,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,강함,삽목,,경험자,보통 (약간 잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
공작야자,Caryota mitis,"Fish tail palm, Burmese Fishtail Palm, Clustered Fishtail Palm","공작야자, (추천 유통명: 미티스야자)",야자과,"동남아시아, 인도네시아",방풍 / 차폐 / 가장자리 경계,잎보기식물,직립형,,,상층목,일반형,잎의 광택-있음 / 잎의 질감-굵고 선명한 / 상록 / 껍질질감- 부드러움 / 가시-없음,기타 (무늬없음 등),"녹색, 연두색",여름,흰색,,빨강색,,파종,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,70% 이상,비료를 보통 요구함,"토양-중성,산성/배수잘됨/타입-Loam",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
관엽베고니아,Begonia spp.,foliage begonia,,베고니아과,"인도, 남아메리카원산식물의 교잡종",,잎&꽃보기식물,관목형,,,"하층목,지피식물",일반형,,점무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색",봄,분홍색,,,,삽목,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
관음죽,Rhapis excelsa,"Fan Palms, (Large) Lady Palm, Bamboo Palm, Broad-leaved Lady Palm, Ground Rattan",관음죽,야자과,"한국, 일본, 중국남부","컨테이너, 경계, 차폐, 방풍/ 암모니아 흡수에 최강인 관엽식물",잎보기식물,관목형,,,"상층목,중층목",일반형,잎의 질감-거침 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색",,,,,,"파종,분주",,경험자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,"중성,산성 / 배수 잘 됨 / 타입-Loam, Sand",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
구문초,Pelargonium rosium,rose geranium,"모기풀, (추천 유통명: 구문초)",쥐손이풀과,이집트,,잎&꽃보기식물,관목형,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,흰색",,,중간,삽목,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
구즈마니아,Guzmania lingulata,Striped torch,"구즈마리아, (추천 유통명: 구즈마니아)",파인애플과,중앙 아메리카,꽃말 '만족',잎&꽃보기식물,로제트형,,,하층목,일반형,잎이 가죽질로 표면이 반들반들하다. 꽃을 감싸고 있는 윗 부분의 잎들이 빨갛게 물들어(포엽) 보기가 좋다.,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,빨강색,노랑색",,,,분주,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,응애
군자란,Clivia miniata,"Scarlet Caffir Lily,Kaffir Lily, Clivia, Bush lily",,수선화과,남아프리카의 나탈,"꽃말: 고귀, / 君子蘭(군자란)은 이름 끝에 ‘란’이라고 되어있지만 난 종류가 아님/컨테이너, 표본, 경계",잎&꽃보기식물,풀모양,,,하층목,일반형,잎-화려함 / 잎의 광택-있음 / 상록,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","빨강색,오렌지색,노랑색",,빨강색,,"파종,분주",봄,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
글레코마,Glecoma hederacea 'Variegata',"Ground ivy, Gill-over-the-ground",,꿀풀과,유럽,,잎&꽃보기식물,덩굴성,,,지피식물,일반형,,"점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,,,삽목,,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애,온실가루이"
금목서,Osmanthus fragrans,"sweet Osmanthus, tea Osmanthus, sweet Olive","목서, 금목서, 구골나무, 박달목서, (추천 유통명 : 금목서)",물푸레나무과,중국,"꽃말:유혹 / 컨테이너, 분재, 토피아리, 생울타리, 차폐식재, 실내식물 / 속명 Osmanthus를 풀어보면 osme는 냄새나 향기를 뜻하고, anthos는 꽃을 의미함",잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,"타원형 / 가장자리에 얕은 물결모양, 잔톱니 / 광택 주로 관상하는 부위는 잎으로 무늬종들이 많으며, 대부분 종이 잎 끝에 강한 가시가 있다.",기타 (무늬없음 등),"녹색, 연두색",가을,"오렌지색,노랑색,흰색",,,강함,"파종,삽목","봄, 여름",초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,"산성, 중성 / 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
금사철나무,Euonymus japonica,goldheart euonymus,,노박덩굴과,"한국, 중국, 일본",,잎보기식물,관목형,,,"중층목,하층목",일반형,,잎 가장자리 무늬,"녹색, 연두색,금색, 노란색",,,,,약함,삽목,,,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
금식나무,Aucuba japonica var. variegata,"Spottedlaurel,Japanese Aucuba, Japanese Laurel, Variegated (Japanese) Laurel",,층층나무과,"한국 남해안, 일본 원산종의 원예품종","컨테이너, 표본, 경계","잎보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,잎-화려함 / 잎의 질감-거침 / 잎의 광택-있음 / 상록,점무늬,"녹색, 연두색,금색, 노란색",봄,"파랑색,노랑색",,빨강색,약함,삽목,여름,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,"중성,산성 / 배수 잘 됨 / 타입-Loam, Clay",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
