이름,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기
가울테리아,"잎&꽃보기식물, 열매보기식물",관목형,,,"하층목,지피식물",일반형,"화려함, 잎의 질감-중간, 잎의 광택-있음, 상록",기타 (무늬없음 등),"녹색, 연두색",여름,"분홍색,흰색",,빨강색,중간,"파종,삽목,분주",파종-9~11월/분주-3~5월
개운죽,잎보기식물,직립형,,,"중층목,하층목","일반형,수경형",,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,
골드크레스트 '윌마',잎보기식물,직립형,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,강함,삽목,
공작야자,잎보기식물,직립형,,,상층목,일반형,잎의 광택-있음 / 잎의 질감-굵고 선명한 / 상록 / 껍질질감- 부드러움 / 가시-없음,기타 (무늬없음 등),"녹색, 연두색",여름,흰색,,빨강색,,파종,
관엽베고니아,잎&꽃보기식물,관목형,,,"하층목,지피식물",일반형,,점무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색",봄,분홍색,,,,삽목,
관음죽,잎보기식물,관목형,,,"상층목,중층목",일반형,잎의 질감-거침 / 잎의 광택-있음 / 상록,기타 (무늬없음 등),"녹색, 연두색",,,,,,"파종,분주",
구문초,잎&꽃보기식물,관목형,,,"중층목,하층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","분홍색,흰색",,,중간,삽목,
구즈마니아,잎&꽃보기식물,로제트형,,,하층목,일반형,잎이 가죽질로 표면이 반들반들하다. 꽃을 감싸고 있는 윗 부분의 잎들이 빨갛게 물들어(포엽) 보기가 좋다.,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,빨강색,노랑색",,,,분주,
군자란,잎&꽃보기식물,풀모양,,,하층목,일반형,잎-화려함 / 잎의 광택-있음 / 상록,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","빨강색,오렌지색,노랑색",,빨강색,,"파종,분주",봄
글레코마,잎&꽃보기식물,덩굴성,,,지피식물,일반형,,"점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,,,삽목,
금목서,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,"타원형 / 가장자리에 얕은 물결모양, 잔톱니 / 광택 주로 관상하는 부위는 잎으로 무늬종들이 많으며, 대부분 종이 잎 끝에 강한 가시가 있다.",기타 (무늬없음 등),"녹색, 연두색",가을,"오렌지색,노랑색,흰색",,,강함,"파종,삽목","봄, 여름"
금사철나무,잎보기식물,관목형,,,"중층목,하층목",일반형,,잎 가장자리 무늬,"녹색, 연두색,금색, 노란색",,,,,약함,삽목,
